"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_PT10M_T2M","3660","2023-05-22T03:00:00","13.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T03:10:00","13.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T03:20:00","13.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T03:30:00","13.3","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T03:40:00","13.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T03:50:00","12.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T04:00:00","12.5","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T04:10:00","12.7","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T04:20:00","13.1","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T04:30:00","13.4","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T04:40:00","12.6","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T04:50:00","12.8","11","2",
"OBS_DEU_PT10M_T2M","3660","2023-05-22T05:00:00","13.2","11","2",
